,nom,numPmu,age,sexe,race,statut,oeilleres,proprietaire,entraineur,deferre,driver,driverChange,robe,indicateurInedit,musique,nombreCourses,nombreVictoires,nombrePlaces,gainsParticipant,nomPere,nomMere,ordreArrivee,jumentPleine,engagement,supplement,handicapDistance,handicapPoids,poidsConditionMonteChange,tempsObtenu,reductionKilometrique,allure,course_id,participant_id,incident,placeCorde,urlCasaque,ecurie,tauxReclamation,nomPereMere,poidsConditionMonte,distanceChevalPrecedent,eleveur
0,AMIZARA,1,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie Jean Michel BAUDOUIN,J.M. BAUDOUIN,DEFERRE_ANTERIEURS_POSTERIEURS,F. LAGADEUC,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,1m1m1m0aDa9a1a3a,8,4,1,"{'gainsCarriere': 3602000, 'gainsVictoires': 3420000, 'gainsPlace': 182000, 'gainsAnneeEnCours': 3602000, 'gainsAnneePrecedente': 0}",Kesaco phedo,Lizara,1,False,False,0,2700,650,False,206120,76300,TROT,2,0,,,,,,,,,
1,ANNEE DE BANNES,2,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,L. LAUDREN,L. LAUDREN,0,A. WIELS,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,3m6a0aDmDm5m7aDm5a6a,29,2,12,"{'gainsCarriere': 4250000, 'gainsVictoires': 1485000, 'gainsPlace': 2765000, 'gainsAnneeEnCours': 3808000, 'gainsAnneePrecedente': 442000}",Kiwi,Legende de bannes,0,False,False,0,2700,650,False,0,0,TROT,2,1,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
2,ASTUCE CLAYETTOISE,3,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,G. RAFFESTIN,G. RAFFESTIN,DEFERRE_POSTERIEURS,A. BARRIER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,7m3m1m7a5a4m6a5a7a8a,24,2,21,"{'gainsCarriere': 4340000, 'gainsVictoires': 1665000, 'gainsPlace': 2675000, 'gainsAnneeEnCours': 2613000, 'gainsAnneePrecedente': 1715000}",Picsou de villabon,Kette clayettoise,2,False,False,0,2700,650,False,206630,76500,TROT,2,2,0,,,,,,,,
3,AMOURETTE ROSE,4,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,R. COHEN,PH. BENGALA,0,A. LAMY,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,0a0a0a4a8a2aDa3a0aDa,23,2,9,"{'gainsCarriere': 4459000, 'gainsVictoires': 1485000, 'gainsPlace': 2974000, 'gainsAnneeEnCours': 2815000, 'gainsAnneePrecedente': 1644000}",Joel james,Quilla rose,0,False,False,0,2700,650,False,0,0,TROT,2,3,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
4,AUDACIEUSE FOUTEAU,5,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,A. DREUX,A. DREUX,DEFERRE_POSTERIEURS,D. THOMAIN,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,Dm3m2m1m1m8m6aDm4m7m,18,4,7,"{'gainsCarriere': 4607000, 'gainsVictoires': 2925000, 'gainsPlace': 1682000, 'gainsAnneeEnCours': 3617000, 'gainsAnneePrecedente': 990000}",Hulk des champs,Elisalde,0,False,False,0,2700,650,False,0,0,TROT,2,4,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
5,ALL STAR ROC,6,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie Christian BIGEON,CH. BIGEON,0,CH.J. BIGEON,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,8m7mDaDa0a6aDa8a7aDa,33,2,12,"{'gainsCarriere': 4992000, 'gainsVictoires': 3195000, 'gainsPlace': 1797000, 'gainsAnneeEnCours': 167000, 'gainsAnneePrecedente': 3529000}",Paris haufor,Pasticia du boulay,0,False,False,0,2700,650,False,0,0,TROT,2,5,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
6,AROMA,7,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,D. SANDERS,H. VAN DEN HENDE,0,J. VANMEERBECK,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,7m5m4m5m4m2m8m7m8m5m,30,1,17,"{'gainsCarriere': 4996000, 'gainsVictoires': 495000, 'gainsPlace': 4501000, 'gainsAnneeEnCours': 2461000, 'gainsAnneePrecedente': 2535000}",Little crack,Lofgie du verger,7,False,False,0,2700,650,False,210050,77800,TROT,2,6,0,,,,,,,,
7,ARABOLE DU VARLET,8,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,B. DUPUIS,M. DUPUIS,DEFERRE_ANTERIEURS_POSTERIEURS,J. DAVE,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,4mDa0m6m5m0a6m8m1m6m,33,1,20,"{'gainsCarriere': 5041000, 'gainsVictoires': 585000, 'gainsPlace': 4456000, 'gainsAnneeEnCours': 2926000, 'gainsAnneePrecedente': 2115000}",Magnificent rodney,Gabole du varlet,6,False,False,0,2700,570,False,209020,77400,TROT,2,7,0,,,,,,,,
8,AMETHYSTE JIEL,9,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J. LUCK,J.L. DERSOIR,DEFERRE_ANTERIEURS_POSTERIEURS,F. DESMIGNEUX,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,7a6a7a1aDaDa0a(13)DaDa,14,4,4,"{'gainsCarriere': 5082000, 'gainsVictoires': 4635000, 'gainsPlace': 447000, 'gainsAnneeEnCours': 1587000, 'gainsAnneePrecedente': 3495000}",Qualypso jiel,Maya jiel,0,False,False,0,2700,570,False,0,0,TROT,2,8,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
9,AFFABLE D'OCCAGNES,10,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,P. ROBIN,D. DESCLOS,0,M. ABRIVARD,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,0a7a0aDa0a5aDa4aDa9a,21,3,8,"{'gainsCarriere': 5313000, 'gainsVictoires': 3735000, 'gainsPlace': 1578000, 'gainsAnneeEnCours': 3764000, 'gainsAnneePrecedente': 1549000}",Niky,For ever galaxie,0,False,False,0,2700,650,False,0,0,TROT,2,9,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
