,date,cached,timezoneOffset,dateReunion,numOfficiel,numOfficielReunionPrecedente,numOfficielReunionSuivante,numExterne,nature,hippodrome,pays,audience,statut,disciplinesMere,specialites,derniereReunion,parisEvenement,meteo,offresInternet,cagnottes,reunion_id,regionHippique
0,01012015,False,3600000,1420066800000,1,,2.0,1,DIURNE,"{'code': 'VIN', 'libelleCourt': 'VINCENNES', 'libelleLong': 'HIPPODROME DE PARIS-VINCENNES'}","{'code': 'FRA', 'libelle': 'FRANCE'}",NATIONAL,TERMINEE,['TROT'],"['TROT_ATTELE', 'TROT_MONTE']",False,"[{'codePari': 'QUINTE_PLUS', 'course': {'dateProgramme': 1420066800000, 'numReunion': 1, 'numOrdre': 2}}, {'codePari': 'PICK5', 'course': {'dateProgramme': 1420066800000, 'numReunion': 1, 'numOrdre': 7}}]","{'datePrevision': 1420098300000, 'nebulositeCode': 'P1', 'nebulositeLibelleCourt': 'Soleil', 'nebulositeLibelleLong': 'Le soleil brillera généreusement.', 'temperature': 3, 'forceVent': 5, 'directionVent': 'S'}",False,[],0,
1,01012015,False,3600000,1420066800000,2,1.0,3.0,2,DIURNE,"{'code': 'CAG', 'libelleCourt': 'CAGNES/MER', 'libelleLong': 'HIPPODROME DE CAGNES/MER'}","{'code': 'FRA', 'libelle': 'FRANCE'}",NATIONAL,TERMINEE,['OBSTACLE'],['OBSTACLE'],False,"[{'codePari': 'PICK5', 'course': {'dateProgramme': 1420066800000, 'numReunion': 2, 'numOrdre': 6}}]","{'datePrevision': 1420098300000, 'nebulositeCode': 'P1', 'nebulositeLibelleCourt': 'Soleil', 'nebulositeLibelleLong': 'Le soleil brillera généreusement.', 'temperature': 10, 'forceVent': 5, 'directionVent': 'N'}",False,[],1,REGION_SUD
2,01012015,False,3600000,1420066800000,3,2.0,4.0,3,SEMINOCTURNE,"{'code': 'MDF', 'libelleCourt': 'MARIENDORF', 'libelleLong': 'HIPPODROME DE MARIENDORF ALL'}","{'code': 'DEU', 'libelle': 'ALLEMAGNE'}",NATIONAL,TERMINEE,['TROT'],['TROT_ATTELE'],False,[],"{'datePrevision': 1420098300000, 'nebulositeCode': 'P1', 'nebulositeLibelleCourt': 'Soleil', 'nebulositeLibelleLong': 'Le soleil brillera généreusement.', 'temperature': 2, 'forceVent': 22, 'directionVent': 'O'}",False,[],2,0
3,01012015,False,3600000,1420066800000,4,3.0,,4,SEMINOCTURNE,"{'code': 'KRI', 'libelleCourt': 'KRIEAU (VIENNE)', 'libelleLong': 'HIPPODROME DE KRIEAU  VIENNE'}","{'code': 'AUT', 'libelle': 'AUTRICHE'}",NATIONAL,TERMINEE,['TROT'],['TROT_ATTELE'],False,[],"{'datePrevision': 1420098300000, 'nebulositeCode': 'P6', 'nebulositeLibelleCourt': 'Couvert', 'nebulositeLibelleLong': 'Le ciel sera couvert mais il ne devrait pas pleuvoir.', 'temperature': 2, 'forceVent': 27, 'directionVent': 'O'}",False,[],3,0
4,03012015,False,3600000,1420239600000,1,,2.0,1,DIURNE,"{'code': 'VIN', 'libelleCourt': 'VINCENNES', 'libelleLong': 'HIPPODROME DE PARIS-VINCENNES'}","{'code': 'FRA', 'libelle': 'FRANCE'}",NATIONAL,TERMINEE,['TROT'],"['TROT_MONTE', 'TROT_ATTELE']",False,"[{'codePari': 'QUINTE_PLUS', 'course': {'dateProgramme': 1420239600000, 'numReunion': 1, 'numOrdre': 4}}, {'codePari': 'PICK5', 'course': {'dateProgramme': 1420239600000, 'numReunion': 1, 'numOrdre': 6}}]","{'datePrevision': 1420271100000, 'nebulositeCode': 'P8c', 'nebulositeLibelleCourt': 'Pluie faible', 'nebulositeLibelleLong': ""Le ciel sera chargé et s'accompagnera de pluies de faible intensité."", 'temperature': 12, 'forceVent': 20, 'directionVent': 'SO'}",False,[],4,0
5,03012015,False,3600000,1420239600000,2,1.0,3.0,2,DIURNE,"{'code': 'DEA', 'libelleCourt': 'DEAUVILLE', 'libelleLong': 'HIPPODROME DE DEAUVILLE'}","{'code': 'FRA', 'libelle': 'FRANCE'}",NATIONAL,TERMINEE,['PLAT'],['PLAT'],False,"[{'codePari': 'PICK5', 'course': {'dateProgramme': 1420239600000, 'numReunion': 2, 'numOrdre': 7}}]","{'datePrevision': 1420271100000, 'nebulositeCode': 'P4', 'nebulositeLibelleCourt': 'Peu Nuageux', 'nebulositeLibelleLong': ""Le soleil l'emportera et les nuages resteront discrets."", 'temperature': 13, 'forceVent': 37, 'directionVent': 'O'}",False,[],5,0
6,03012015,False,3600000,1420239600000,3,2.0,4.0,3,DIURNE,"{'code': 'TPK', 'libelleCourt': 'MELTON', 'libelleLong': 'HIPPODROME MELTON AUS'}","{'code': 'AUS', 'libelle': 'Australie'}",NATIONAL,TERMINEE,['TROT'],['TROT_ATTELE'],False,[],"{'datePrevision': 1420271100000, 'nebulositeCode': 'P4', 'nebulositeLibelleCourt': 'Peu Nuageux', 'nebulositeLibelleLong': ""Le soleil l'emportera et les nuages resteront discrets."", 'temperature': 39, 'forceVent': 27, 'directionVent': 'N'}",False,[],6,0
7,03012015,False,3600000,1420239600000,4,3.0,5.0,4,SEMINOCTURNE,"{'code': 'D04', 'libelleCourt': 'DORTMUND', 'libelleLong': 'HIPPODROME DE DORTMUND ALL'}","{'code': 'DEU', 'libelle': 'ALLEMAGNE'}",NATIONAL,TERMINEE,['PLAT'],['PLAT'],False,[],"{'datePrevision': 1420271100000, 'nebulositeCode': 'P10', 'nebulositeLibelleCourt': 'Neige', 'nebulositeLibelleLong': ""Le ciel chargé s'accompagnera de fréquentes chutes de neige."", 'temperature': 2, 'forceVent': 11, 'directionVent': 'O'}",False,[],7,0
8,03012015,False,3600000,1420239600000,5,4.0,6.0,5,SEMINOCTURNE,"{'code': 'S85', 'libelleCourt': 'CHILE', 'libelleLong': 'HIPPODROME DE CHILE CHILI'}","{'code': 'CHL', 'libelle': 'Chili'}",NATIONAL,TERMINEE,['PLAT'],['PLAT'],False,[],"{'datePrevision': 1420271100000, 'nebulositeCode': 'P1', 'nebulositeLibelleCourt': 'Soleil', 'nebulositeLibelleLong': 'Le soleil brillera généreusement.', 'temperature': 28, 'forceVent': 9, 'directionVent': 'SO'}",False,[],8,0
9,03012015,False,3600000,1420239600000,6,5.0,7.0,6,DIURNE,"{'code': 'SDW', 'libelleCourt': 'SANDOWN PARK', 'libelleLong': 'HIPPODROME DE SANDOWN PARK GB'}","{'code': 'GBR', 'libelle': 'Royaume-Uni'}",NATIONAL,TERMINEE,['OBSTACLE'],['OBSTACLE'],False,[],0,False,[],9,0
